Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
3,,2023-10-30,20-356,CHO,,BRK,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,2023-11-01,20-358,CHO,@,HOU,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,2023-11-04,20-361,CHO,@,IND,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,1,2023-11-05,20-362,CHO,@,DAL,L (-6),0,9:53,0,1,.000,0,1,.000,1,2,.500,0,2,2,0,2,0,0,0,1,2.5,+1
7,2,2023-11-08,21-000,CHO,,WAS,L (-16),0,14:50,0,0,,0,0,,2,2,1.000,0,3,3,1,0,0,2,2,2,0.8,-1
8,3,2023-11-10,21-002,CHO,@,WAS,W (+7),0,12:55,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,1,3,2,0.1,-8
9,4,2023-11-12,21-004,CHO,@,NYK,L (-22),0,18:54,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,0,0,0,2,-0.4,-6
10,5,2023-11-14,21-006,CHO,,MIA,L (-6),0,28:55,4,7,.571,3,5,.600,1,2,.500,0,4,4,1,1,0,1,4,12,8.6,-3
11,6,2023-11-17,21-009,CHO,,MIL,L (-31),0,9:47,1,3,.333,1,2,.500,2,2,1.000,0,0,0,1,0,0,0,0,5,4.0,-8
12,7,2023-11-18,21-010,CHO,,NYK,L (-14),0,15:40,0,2,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,2,0,-0.5,+4
13,8,2023-11-20,21-012,CHO,,BOS,W (+3),0,13:49,1,6,.167,1,6,.167,0,0,,0,2,2,2,0,0,1,1,3,-0.2,-17
14,9,2023-11-22,21-014,CHO,,WAS,W (+3),0,22:36,4,5,.800,3,4,.750,2,2,1.000,1,2,3,0,1,1,1,1,13,12.7,+11
15,10,2023-11-26,21-018,CHO,@,ORL,L (-13),0,6:20,0,0,,0,0,,0,0,,1,1,2,1,1,0,1,2,0,0.9,+1
16,11,2023-11-28,21-020,CHO,@,NYK,L (-24),0,13:04,2,5,.400,1,2,.500,0,0,,1,1,2,0,1,0,0,1,5,3.9,-12
17,12,2023-11-30,21-022,CHO,@,BRK,W (+1),1,22:12,5,7,.714,4,5,.800,0,0,,0,2,2,3,0,1,0,1,14,14.1,-6
18,13,2023-12-02,21-024,CHO,,MIN,L (-6),0,15:45,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,0,1,2,0.9,+5
19,14,2023-12-06,21-028,CHO,@,CHI,L (-11),0,15:50,2,2,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,1,3,5,3.2,-10
