Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
13,13,1982-11-24,25-082,PHI,@,IND,W (+15),0,12:00,2,3,.667,0,0,,2,2,1.000,,,3,0,0,0,1,1,6,
14,14,1982-11-26,25-084,PHI,@,CLE,W (+18),0,16:00,3,3,1.000,0,0,,0,0,,2,6,8,1,1,1,1,2,6,8.9
15,15,1982-11-27,25-085,PHI,,UTA,W (+13),0,9:00,0,6,.000,0,0,,1,2,.500,,,4,0,,0,,0,1,
16,16,1982-11-30,25-088,PHI,@,ATL,L (-14),0,7:00,0,1,.000,0,0,,0,2,.000,1,3,4,1,0,0,0,2,0,0.0
17,17,1982-12-02,25-090,PHI,@,PHO,W (+8),0,8:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.1
18,18,1982-12-03,25-091,PHI,@,SDC,W (+17),0,11:00,1,4,.250,0,0,,2,2,1.000,,,3,0,,0,,1,4,
19,19,1982-12-05,25-093,PHI,@,LAL,W (+10),0,9:00,2,3,.667,0,0,,0,1,.000,1,4,5,0,0,0,0,2,4,3.4
20,20,1982-12-08,25-096,PHI,,ATL,W (+47),0,17:00,7,10,.700,0,0,,1,3,.333,2,1,3,2,2,0,1,2,15,13.3
21,21,1982-12-10,25-098,PHI,@,BOS,L (-26),0,11:00,1,4,.250,0,0,,0,0,,0,0,0,0,,0,,1,2,
22,22,1982-12-11,25-099,PHI,,DET,W (+17),0,11:00,2,4,.500,0,0,,1,2,.500,,,4,0,,0,,5,5,
23,23,1982-12-15,25-103,PHI,,CLE,W (+6),0,8:00,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,1,1,2,0.6
24,24,1982-12-17,25-105,PHI,,NYK,W (+14),0,12:00,1,2,.500,0,0,,0,0,,,,3,0,,0,,2,2,
25,25,1982-12-18,25-106,PHI,@,WSB,L (-3),0,5:00,0,0,,0,0,,0,0,,,,4,0,0,0,,1,0,
26,26,1982-12-21,25-109,PHI,,BOS,W (+17),0,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1
